epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4561,1.56118,2.82584,1.42627,0.00316,0.9403,0.66008,0.24581,1.56491,3.05447,1.21781,0.00032,0.00032,0.00032
2,97.3637,1.54604,1.73931,1.28269,0.88628,0.40714,0.6552,0.24137,1.51367,2.87034,1.23234,0.00059466,0.00059466,0.00059466
3,141.271,1.49589,1.63931,1.31638,0.47159,0.41791,0.493,0.19055,1.68562,2.55862,1.40028,0.000802,0.000802,0.000802
4,185.476,1.49668,1.48107,1.26951,0.53283,0.50219,0.46427,0.18114,1.68113,2.35893,1.3669,0.00094202,0.00094202,0.00094202
5,229.521,1.50066,1.3968,1.30843,0.57798,0.62687,0.61629,0.26661,1.55613,1.88535,1.29341,0.00101472,0.00101472,0.00101472
6,272.922,1.43513,1.27048,1.2508,0.62196,0.73667,0.69832,0.30225,1.67478,1.53478,1.33118,0.00101,0.00101,0.00101
7,316.193,1.41131,1.18665,1.24352,0.83219,0.79851,0.86397,0.43718,1.54596,1.33338,1.29672,0.000812,0.000812,0.000812
8,360.635,1.30175,1.05168,1.19709,0.94935,0.74627,0.87094,0.36123,1.79624,1.30158,1.36564,0.000614,0.000614,0.000614
9,407.714,1.3168,0.99948,1.1828,0.93744,0.89456,0.94215,0.39596,1.74929,1.13374,1.34881,0.000416,0.000416,0.000416
10,451.479,1.22356,0.93205,1.15854,0.88506,0.88806,0.93745,0.54172,1.27034,0.92256,1.14279,0.000218,0.000218,0.000218
